DATE,inflation,unemployment,interest,exports,imports,moneysupply,ppi
1990-01-01,5.9,6.8,10.89,14042376433.9769,18044080234.8868,168166000000.0,5.38673326497052
1990-02-01,6.3,6.8,11.33,14296111306.8203,17674666315.519802,169321000000.0,5.37189361629452
1990-03-01,6.2,6.7,12.42,13726717773.1801,17804261508.0723,170717000000.0,5.4794545250209
1990-04-01,7.7,6.8,12.74,14174122476.2859,18066031075.9159,171540000000.0,6.26702731511061
1990-05-01,8.2,6.7,12.41,14752323187.640902,17980446844.8829,172079000000.0,6.08931183436616
1990-06-01,8.2,6.7,11.8,14682296376.693,18164077052.5149,173368000000.0,6.08108340178323
1990-07-01,8.2,6.8,11.84,15168078839.5571,19199207937.0767,173256000000.0,5.93793042453669
1990-08-01,8.9,6.8,12.15,16111153423.338902,19294097877.663097,173542000000.0,6.59489406954781
1990-09-01,9.2,6.9,12.1,16350510934.2085,19384266223.622906,175222000000.0,6.95187843372872
1990-10-01,9.2,7.0,11.74,17151717588.266,19945097508.067,175921000000.0,7.18084552007035
1990-11-01,9.2,7.1,11.37,17636650436.4976,19762144254.186703,177772000000.0,7.0478727343619
1990-12-01,9.2,7.4,10.84,16635781096.2398,18858789596.1701,178352000000.0,6.49005953339828
1991-01-01,8.6,7.5,10.59,16395647567.066898,19414987902.2276,178441000000.0,6.55308359849682
1991-02-01,8.2,7.7,10.13,16347130743.507002,18376097990.7956,178599000000.0,6.41058432249733
1991-03-01,8.3,8.1,10.29,15387461062.9372,18210710216.0759,179070000000.0,6.12518026959535
1991-04-01,8.0,8.3,10.19,15248112965.0569,16555064895.1719,179289000000.0,6.09918166248057
1991-05-01,7.5,8.5,10.38,14874977515.8592,16701572192.2943,181280000000.0,6.0889621849073
1991-06-01,7.7,8.6,10.58,14422281187.9935,16558215591.0337,181826000000.0,5.82121464965055
1991-07-01,7.5,8.8,10.28,14715440186.4866,16256583219.4819,181183000000.0,6.0864301477719
1991-08-01,7.5,9.0,10.03,15003760396.5017,17464245632.204998,181117000000.0,5.14879468438797
1991-09-01,6.9,9.0,9.64,14845580602.0356,17246456980.486202,183432000000.0,4.22743042634323
1991-10-01,6.5,9.0,9.72,15120116578.029202,17142793314.497698,182242000000.0,3.70985507266769
1991-11-01,6.5,9.1,9.77,15748433119.4691,18043822053.668697,182793000000.0,4.09730898617018
1991-12-01,6.5,9.2,9.66,16773596130.8898,18221914435.5651,183577000000.0,3.96784265582652
1992-01-01,6.2,9.3,9.46,15323941314.6113,17425746115.018,185127000000.0,3.32906425153888
1992-02-01,6.3,9.3,9.3,15482017777.2862,18108680729.745,185058000000.0,3.58056357290375
1992-03-01,6.2,9.3,9.68,15166185842.1815,17431841975.158398,186351000000.0,3.94904529160229
1992-04-01,5.2,9.8,9.43,15910272192.15,18578581979.823097,188488000000.0,3.1446539495318
1992-05-01,5.1,9.8,9.02,16719307184.7929,19088530575.5899,186532000000.0,2.87859743566538
1992-06-01,4.6,9.9,9.12,16576715987.850498,18594210382.703,186803000000.0,3.1328319488317
